route_number,route_title,full_guide_url,article_title,date_published,date_modified,paragraph_count,heading_count,map_embed_count,guide_polyline_count,guide_point_count
1,"ROUTE 1 BO. OBRERO, LAPUZ TO CITY PROPER LOOP",https://shemaegomez.com/bo-obrero-jeepney-route/,"Iloilo Jeep Route 1 Bo. Obrero, Lapuz to City Proper Loop",2024-10-30T02:07:37+00:00,2026-01-07T02:30:57+00:00,7,5,1,1,321
2,ROUTE 2 VILLA PLAZA TO CITY PROPER VIA CALUMPANG,https://shemaegomez.com/calaparan-calumpang-jeepney-route/,Iloilo Jeep Route 2 Villa Plaza to City Proper via Calumpang Loop,2024-10-30T02:16:31+00:00,2026-01-07T02:27:36+00:00,16,5,1,2,525
3,ROUTE 3 UNGKA TO CITY PROPER VIA CPU LOOP,https://shemaegomez.com/ungka-cpu-jeepney-route/,Iloilo Jeep Route 3 Ungka to City Proper via CPU Loop,2024-10-31T01:32:29+00:00,2026-01-07T02:26:31+00:00,10,5,1,2,643
4,ROUTE 4 UNGKA TO CITY PROPER VIA B. AQUINO AVE./ FESTIVE WALK LOOP,https://shemaegomez.com/ungka-diversion-route/,Iloilo Jeep Route 4 Ungka to City Proper via B. Aquino Ave./ Festive Walk Loop,2024-10-30T02:25:25+00:00,2026-01-07T02:26:14+00:00,12,5,1,1,374
5,ROUTE 5 FESTIVE WALK TO CITY PROPER VIA B. AQUINO AVE. AND SM CITY,https://shemaegomez.com/festive-sm-city-jeepney-route/,Iloilo Jeep Route 5 Festive Walk to City Proper via B. Aquino Ave. And SM City Loop,2024-10-30T02:21:47+00:00,2026-01-07T02:25:58+00:00,17,5,1,2,557
6,ROUTE 6 LANIT TO SM CITY VIA INFANTE,https://shemaegomez.com/lanit-jeepney-route/,Iloilo Jeep Route 6 Lanit to SM City via Infante Loop,2024-10-30T02:19:25+00:00,2026-01-07T02:25:17+00:00,1,1,0,0,0
7,ROUTE 7 COMPANIA TO CITY PROPER LOOP,https://shemaegomez.com/compania-jeepney-route/,Iloilo Jeep Route 7 Compania to City Proper Loop,2024-10-30T02:18:31+00:00,2026-01-07T02:25:07+00:00,11,6,1,1,217
8,ROUTE 8 PAROLA TO SM CITY VIA INFANTE LOOP,https://shemaegomez.com/parola-jeepney-route/,Iloilo Jeep Route 8 Parola to SM City via Infante Loop,2024-10-30T02:10:42+00:00,2026-01-07T02:23:45+00:00,12,11,0,0,0
9,ROUTE 9 MOHON TO CITY PROPER LOOP,https://shemaegomez.com/mohon-infante-jeepney-route/,Iloilo Jeep Route 9 Mohon to City Proper Loop,2024-10-30T02:28:10+00:00,2026-01-07T02:23:19+00:00,10,5,1,2,401
10,ROUTE 10 BUNTATALA / TAGBAK TERMINAL TO CITY PROPER LOOP,https://shemaegomez.com/tagbak-city-proper-jeepney-route/,Iloilo Jeep Route 10 Buntatala / Tagbak Terminal to City Proper Loop,2024-10-30T02:29:03+00:00,2026-01-07T02:23:00+00:00,10,4,0,0,0
11,"ROUTE 11 TICUD, LA PAZ TO CITY PROPER LOOP",https://shemaegomez.com/la-paz-isatu-jeepney-route/,"Iloilo Jeep Route 11 Ticud, La Paz to City Proper Loop",2024-10-30T02:30:52+00:00,2026-01-07T02:31:15+00:00,11,6,1,2,374
12,ROUTE 12 MANDURRIAO TO CITY PROPER VIA FESTIVE WALK / B. AQUINO AVE.,https://shemaegomez.com/mandurriao-festive-walk/,Iloilo Jeep Route 12 Mandurriao to City Proper via Festive Walk / B. Aquino Ave. Loop,2024-10-30T02:30:40+00:00,2026-01-07T02:42:22+00:00,7,1,0,0,0
13,ROUTE 13 HIBAO-AN TO CITY PROPER VIA TABUCAN HUB LOOP,https://shemaegomez.com/hibao-an-iloilo-city-proper-festive-walk-jeepney-route/,Iloilo Jeep Route 13 Hibao-an to City Proper via Tabucan Hub Loop,2024-10-30T02:58:03+00:00,2026-01-07T02:42:40+00:00,11,1,0,0,0
14,ROUTE 14 HIBAO-AN TO JARO VIA B. AQUINO AVE. / FESTIVE LOOP,https://shemaegomez.com/hibao-an-jaro-jeepney-route/,Iloilo Jeep Route 14 Hibao-an to Jaro via B. Aquino Ave. / Festive Loop,2024-10-30T02:56:41+00:00,2026-01-07T02:28:03+00:00,6,1,0,0,0
15,ROUTE 15 MOLO TO CITY PROPER VIA BALUARTE LOOP,https://shemaegomez.com/molo-baluarte-jeepney-route/,Iloilo Jeep Route 15 Molo to City Proper via Baluarte Loop,2024-10-30T02:56:21+00:00,2026-01-07T02:41:04+00:00,22,5,1,2,397
16,ROUTE 16 BITO-ON TO JARO VIA BALABAGO LOOP,https://shemaegomez.com/bito-on-balabago-jeepney-route/,Iloilo Jeep Route 16 Bito-on to Jaro via Balabago Loop,2024-10-30T02:48:14+00:00,2026-01-07T02:40:38+00:00,8,4,0,0,0
17,ROUTE 17 VILLA BAYBAY TO CITY PROPER VIA BONIFACIO,https://shemaegomez.com/villa-baybay-jeepney-route/,Iloilo Jeep Route 17 Villa Baybay to City Proper via Bonifacio Loop,2024-11-19T00:46:15+00:00,2026-01-07T02:37:38+00:00,7,1,0,0,0
18,ROUTE 18 TAGBAK TO CITY PROPER VIA COASTAL LOOP,https://shemaegomez.com/tagbak-lapuz-jeepney-route/,Iloilo Jeep Route 18 Tagbak to City Proper via Coastal Loop,2024-10-30T02:43:14+00:00,2026-01-07T02:40:18+00:00,7,1,0,0,0
19,ROUTE 19 BITO-ON TO CITY PROPER VIA LA PAZ LOOP,https://shemaegomez.com/bito-on-lapaz-jeepney-route/,Iloilo Jeep Route 19 Bito-on to City Proper via La Paz Loop,2024-10-30T02:41:34+00:00,2026-01-07T02:40:06+00:00,12,1,0,0,0
20,ROUTE 20 MOHON TO JARO VIA SO OC / FESTIVE WALK / ISATU,https://shemaegomez.com/villa-jaro-jeepney-route/,Iloilo Jeep Route 20 Mohon to Jaro via So oc / Festive Walk / ISATU Loop,2024-10-30T02:41:11+00:00,2026-01-07T02:39:48+00:00,9,1,0,0,0
21,ROUTE 21 TAGBAK / BUNTATALA TO FESTIVE WALK VIA SM CITY / ATRIA,https://shemaegomez.com/tagbak-festive-jeepney-route/,Iloilo Jeep Route 21 Tagbak / Buntatala to Festive Walk via SM City / Atria Loop,2024-10-30T02:40:30+00:00,2026-01-07T02:39:33+00:00,9,1,0,0,0
22,ROUTE 22 UNGKA TO LA PAZ VIA CPU – ISATU LOOP,https://shemaegomez.com/ungka-isatu-jeepney-route/,Iloilo Jeep Route 22 Ungka to La Paz via CPU – ISATU Loop,2024-10-30T02:38:57+00:00,2026-01-07T02:39:19+00:00,7,1,0,0,0
23,ROUTE 23 MOHON TO MANDURRIAO BUSINESS DISTRICT,https://shemaegomez.com/mohon-mandurriao-jeepney-route/,Iloilo Jeep Route 23 Mohon to Mandurriao Business District Loop,2024-10-30T02:37:37+00:00,2026-01-07T02:39:10+00:00,11,10,0,0,0
24,ROUTE 24 LA PAZ TO FESTIVE WALK VIA NABITASAN LOOP,https://shemaegomez.com/la-paz-festive-jeepney-route/,Iloilo Jeep Route 24 La Paz to Festive Walk via Nabitasan Loop,2024-10-30T02:35:37+00:00,2026-01-07T02:38:46+00:00,7,1,0,0,0
25,ROUTE 25 MOLO TO CITY PROPER VIA GENERAL LUNA LOOP,https://shemaegomez.com/molo-baluarte-derecho-jeepney-route/,Iloilo Jeep Route 25 Molo to City Proper via General Luna Loop,2024-05-14T08:59:16+00:00,2026-01-07T02:38:37+00:00,16,5,1,1,351
