route_number,route_title,section_id,full_guide_url,map_embed_url,map_mid,map_kml_url,map_polyline_count,map_point_count,map_scrape_error,faq_url,stop_description,stops_pipe_delimited,stop_count
1,"ROUTE 1 BO. OBRERO, LAPUZ TO CITY PROPER LOOP",bo-obrero,https://shemaegomez.com/bo-obrero-jeepney-route/,https://www.google.com/maps/d/embed?mid=1-DPGv82VEZf-JVVSDBqY-a2ZdDRonA8&ehbc=2E312F,1-DPGv82VEZf-JVVSDBqY-a2ZdDRonA8,https://www.google.com/maps/d/kml?mid=1-DPGv82VEZf-JVVSDBqY-a2ZdDRonA8&forcekml=1,1,321,,https://shemaegomez.com/?faq-group=route-1,"Bo. Obrero Multi-purpose Gym, (Bo. Obrero local streets), Everlasting St., Margarita St., Rizal St. (Lapuz Norte), Jalandoni High School, Rizal St (Lapuz Sur), Drilon Bridge, Muelle Loney (Provincial Capitol), Iznart St. (Land Bank/Citadines), JM Basa St. (Socorro Drug), Guanco St. (Gaisano Capital), Rizal St. (UI Phinma, )lloilo Central Market), Valeria St., (SM Delgado), Gen. Luna (Atrium), Muelle Loney (Provincial Capitol/Registry of Deeds), Drilon Bridge, Rizal St. (Lapuz Sur), Jalandoni High School, Rizal St. (Lapuz Norte) Margarita St., Everlasting St., (Bo. Obrero local streets), Bo. Obrero Multi-purpose Gym",Bo. Obrero Multi-purpose Gym | (Bo. Obrero local streets) | Everlasting St | Margarita St | Rizal St. (Lapuz Norte) | Jalandoni High School | Rizal St (Lapuz Sur) | Drilon Bridge | Muelle Loney (Provincial Capitol) | Iznart St. (Land Bank/Citadines) | JM Basa St. (Socorro Drug) | Guanco St. (Gaisano Capital) | Rizal St. (UI Phinma | )lloilo Central Market) | Valeria St | (SM Delgado) | Gen. Luna (Atrium) | Muelle Loney (Provincial Capitol/Registry of Deeds) | Drilon Bridge | Rizal St. (Lapuz Sur) | Jalandoni High School | Rizal St. (Lapuz Norte) Margarita St | Everlasting St | (Bo. Obrero local streets) | Bo. Obrero Multi-purpose Gym,25
2,ROUTE 2 VILLA PLAZA TO CITY PROPER VIA CALUMPANG,calaparan-calumpang,https://shemaegomez.com/calaparan-calumpang-jeepney-route/,https://www.google.com/maps/d/embed?mid=1V-3Bh3HxxrNWuxs-tdNPQhBPNazKAOA&ehbc=2E312F,1V-3Bh3HxxrNWuxs-tdNPQhBPNazKAOA,https://www.google.com/maps/d/kml?mid=1V-3Bh3HxxrNWuxs-tdNPQhBPNazKAOA&forcekml=1,2,525,,https://shemaegomez.com/?faq-group=route-2,"Yulo St. after Police Station, Osmeña St., Arroyo St. (Back of Arevalo Church), Bonifacio St., Yulo St. (Total Gasoline Station), Baluarte Calumpang-Villa-Oton Blvd., Rizal St. (Tanza Church), Ledesma St., Jalandoni St., De Leon St. (Super), Fuentes St., Ledesma St. (Robinsons City), Iznart St. (Socorro Drug), Rizal St. (lloilo Central Market), Ortiz St., JM Basa St. (Plaza Libertad/City Hall), Rizal St. (UI Phinma), Iznart St. (lloilo Central Market/Socorro Drug), Ledesma St. (Unitop/Robinsons City), Mabini St., De Leon St. (Super), Fuentes St., Ledesma St. (Colegio de las Hijas de Jesus), Rizal St., Infante St. (lloilo Fish Port), Baluarte-Calumpang-Villa-Oton BIvd., Total Gas Sta. (Yulo)",Yulo St. after Police Station | Osmeña St | Arroyo St. (Back of Arevalo Church) | Bonifacio St | Yulo St. (Total Gasoline Station) | Baluarte Calumpang-Villa-Oton Blvd | Rizal St. (Tanza Church) | Ledesma St | Jalandoni St | De Leon St. (Super) | Fuentes St | Ledesma St. (Robinsons City) | Iznart St. (Socorro Drug) | Rizal St. (lloilo Central Market) | Ortiz St | JM Basa St. (Plaza Libertad/City Hall) | Rizal St. (UI Phinma) | Iznart St. (lloilo Central Market/Socorro Drug) | Ledesma St. (Unitop/Robinsons City) | Mabini St | De Leon St. (Super) | Fuentes St | Ledesma St. (Colegio de las Hijas de Jesus) | Rizal St | Infante St. (lloilo Fish Port) | Baluarte-Calumpang-Villa-Oton BIvd | Total Gas Sta. (Yulo),27
3,ROUTE 3 UNGKA TO CITY PROPER VIA CPU LOOP,ungka-cpu,https://shemaegomez.com/ungka-cpu-jeepney-route/,https://www.google.com/maps/d/embed?mid=1MMCTYkNoRM0EqfwgZl41G9svXPxiCOo&ehbc=2E312F,1MMCTYkNoRM0EqfwgZl41G9svXPxiCOo,https://www.google.com/maps/d/kml?mid=1MMCTYkNoRM0EqfwgZl41G9svXPxiCOo&forcekml=1,2,643,,https://shemaegomez.com/?faq-group=route-3,"ITGSI, Ungka Terminal , Benigno Aquino (Ford lloilo/St. Joseph the Worker Church), Lopez Jaena St. (CPU), Rizal St. (Jaro Plaza), E. Lopez St. (Robinsons Jaro), Luna St. (St. Clement’s Church), Bonifacio Dr. (Hall of Justice/Provincial Capitol), Iznart St. (Citadines), JM Basa St. (Socorro Drug/Plaza Libertad/City Hall), Fort San Pedro Wharf, Parola Dr., Burgos St ., Sto. Rosario St., Zamora St., JM Basa St. (City Square/Marketplace) Iznart St. (PSA), Bonifacio Dr. (Provincial Capitol/Hall of Justice), Luna St. (Gaisano La Paz), Huervana St., Rizal St. (La Paz Market), E. Lopez St., Rizal St. (Jaro Plaza), Washington St., Democracia St., Simon Ledesma St., Lopez Jaena St., Benigno Aquino, ITGSI, Ungka Terminal",ITGSI | Ungka Terminal | Benigno Aquino (Ford lloilo/St. Joseph the Worker Church) | Lopez Jaena St. (CPU) | Rizal St. (Jaro Plaza) | E. Lopez St. (Robinsons Jaro) | Luna St. (St. Clement’s Church) | Bonifacio Dr. (Hall of Justice/Provincial Capitol) | Iznart St. (Citadines) | JM Basa St. (Socorro Drug/Plaza Libertad/City Hall) | Fort San Pedro Wharf | Parola Dr | Burgos St | Sto. Rosario St | Zamora St | JM Basa St. (City Square/Marketplace) Iznart St. (PSA) | Bonifacio Dr. (Provincial Capitol/Hall of Justice) | Luna St. (Gaisano La Paz) | Huervana St | Rizal St. (La Paz Market) | E. Lopez St | Rizal St. (Jaro Plaza) | Washington St | Democracia St | Simon Ledesma St | Lopez Jaena St | Benigno Aquino | ITGSI | Ungka Terminal,29
4,ROUTE 4 UNGKA TO CITY PROPER VIA B. AQUINO AVE./ FESTIVE WALK LOOP,ungka-diversion,https://shemaegomez.com/ungka-diversion-route/,https://www.google.com/maps/d/embed?mid=18HT-LgpgqWqeLuil5A2Bf5UO3QI5bow&ehbc=2E312F,18HT-LgpgqWqeLuil5A2Bf5UO3QI5bow,https://www.google.com/maps/d/kml?mid=18HT-LgpgqWqeLuil5A2Bf5UO3QI5bow&forcekml=1,1,374,,https://shemaegomez.com/?faq-group=route-4,"Ungka Terminal, B. Aquino Ave., Airport Spur Rd., Megaworld Blvd., Festive Walk Transport Hub, Taft St. (lloilo Integrated School), B. Aquino Ave. (Zuri Hotel/ SM City/Plazuela/Esplanade 1 and 2), Infante St. (UP/lloilo Doctors’ Hospital/ lloilo Fish Port), Rizal St., Ledesma St. (Colegio de las Hijas de Jesus), Mabini St. (Robinsons City), De Leon St. (Super), Valeria St. (Marymart), Delgado St. (SM Delgado), Infante St., B. Aquino Ave., Gaisano ICC Loop, Taft St., Megaworld Ave. (One Madison and Palladium), Spur Rd. (Carlos), U-turn Slot Gallenero Engineering, B. Aquino Ave., Ungka Terminal",Ungka Terminal | B. Aquino Ave | Airport Spur Rd | Megaworld Blvd | Festive Walk Transport Hub | Taft St. (lloilo Integrated School) | B. Aquino Ave. (Zuri Hotel/ SM City/Plazuela/Esplanade 1 and 2) | Infante St. (UP/lloilo Doctors’ Hospital/ lloilo Fish Port) | Rizal St | Ledesma St. (Colegio de las Hijas de Jesus) | Mabini St. (Robinsons City) | De Leon St. (Super) | Valeria St. (Marymart) | Delgado St. (SM Delgado) | Infante St | B. Aquino Ave | Gaisano ICC Loop | Taft St | Megaworld Ave. (One Madison and Palladium) | Spur Rd. (Carlos) | U-turn Slot Gallenero Engineering | B. Aquino Ave | Ungka Terminal,23
5,ROUTE 5 FESTIVE WALK TO CITY PROPER VIA B. AQUINO AVE. AND SM CITY,festive-sm,https://shemaegomez.com/festive-sm-city-jeepney-route/,https://www.google.com/maps/d/embed?mid=1_SZ-9REEELGwGvmKyVcVcBqp3tQ_r1Y&ehbc=2E312F,1_SZ-9REEELGwGvmKyVcVcBqp3tQ_r1Y,https://www.google.com/maps/d/kml?mid=1_SZ-9REEELGwGvmKyVcVcBqp3tQ_r1Y&forcekml=1,2,557,,https://shemaegomez.com/?faq-group=route-5,"Festive Walk Transport Hub, Megaworld Ave., Spur Road, Carlos, B. Aquino Ave. (Zuri Hotel/SM City/Plazuela 1&2/Smallville/Esplanade 1&2), Gen. Luna St. (UPV Iloilo Campus/ University of San Agustin/SPED/Jubilee Hall/Assumption Iloilo/Iloilo Central Elem. School/St. Paul’s Hospital-University/ Atrium Mall), Iznart St. (Citadines), JM Basa St. (Socorro Drug), Ortiz St., Rizal St. (Goldberry Lite Hotel/lloilo Central Market), Iznart St. (Socorro Drug) Ledesma St. (Unitop), Quezon St. (Narita/SM Delgado), Delgado St., Jalandoni St. (University of San Agustin Gym), Gen. Luna St. (UPV lloilo Campus), Diversion Rd. (St. Joseph School), Gaisano ICC Loop, SM Strata, U-turn Gil Car Traders, B. Aquino Ave., Atria, R. Mapa, Megaworld Ave. Loop, Carlos, B. Aquino Ave., Loading and Unloading Bay, SM City",Festive Walk Transport Hub | Megaworld Ave | Spur Road | Carlos | B. Aquino Ave. (Zuri Hotel/SM City/Plazuela 1&2/Smallville/Esplanade 1&2) | Gen. Luna St. (UPV Iloilo Campus/ University of San Agustin/SPED/Jubilee Hall/Assumption Iloilo/Iloilo Central Elem. School/St. Paul’s Hospital-University/ Atrium Mall) | Iznart St. (Citadines) | JM Basa St. (Socorro Drug) | Ortiz St | Rizal St. (Goldberry Lite Hotel/lloilo Central Market) | Iznart St. (Socorro Drug) Ledesma St. (Unitop) | Quezon St. (Narita/SM Delgado) | Delgado St | Jalandoni St. (University of San Agustin Gym) | Gen. Luna St. (UPV lloilo Campus) | Diversion Rd. (St. Joseph School) | Gaisano ICC Loop | SM Strata | U-turn Gil Car Traders | B. Aquino Ave | Atria | R. Mapa | Megaworld Ave. Loop | Carlos | B. Aquino Ave | Loading and Unloading Bay | SM City,27
6,ROUTE 6 LANIT TO SM CITY VIA INFANTE,lanit-sm,https://shemaegomez.com/lanit-jeepney-route/,,,,0,0,,https://shemaegomez.com/?faq-group=route-6,"Lanit/Leganes Boundary loop, Tiu Cho Teg-Ana Ros Foundation Integrated School, lloilo Radial Bypass Rd., Iloilo Circumferential Rd. (C. Aquino Ave.), Tacas Quintin Salas Rd. (SM Savemore), MacArthur Dr. (LTO/LTFRB), Simon Ledesma St., Lopez Jaena St., (Biscocho House), Rizal Street (Jaro Plaza), E. Lopez St. (Robinsons Jaro), Jalandoni St., (Injap Tower Hotel) B. Aquino Ave., U-turn Gil Trading Car Sales/Petron, B. Aquino Ave., Pison Rotunda, B. Aquino Ave., Infante (UP/llollo Doctors’ Hospital/Iloilo Fish Port), Locsin St., Rizal St., Infante, B. Aquino Ave. Gaisano Hub, SM Transport Hub (Strata), Jalandoni St., (Injap Tower Hotel), Commission Civil St. (SM Hypermarket), M. Jayme, E. Lopez (Robinsons Jaro), Seminario St., Burgos St., Cuartero St., Fajardo St., Libertad St., Sta. Isabel, Lopez Jaena St., Washington St., MacArthur Dr., Tacas-Quintin Salas Rd., Iloilo Circumferential Rd. (C. Aquino Ave.), llollo Radial Bypass Rd., Tiu Cho Teg-Ana Ros Foundation Integrated School, Lanit/ Leganes Boundary loop",Lanit/Leganes Boundary loop | Tiu Cho Teg-Ana Ros Foundation Integrated School | lloilo Radial Bypass Rd | Iloilo Circumferential Rd. (C. Aquino Ave.) | Tacas Quintin Salas Rd. (SM Savemore) | MacArthur Dr. (LTO/LTFRB) | Simon Ledesma St | Lopez Jaena St | (Biscocho House) | Rizal Street (Jaro Plaza) | E. Lopez St. (Robinsons Jaro) | Jalandoni St | (Injap Tower Hotel) B. Aquino Ave | U-turn Gil Trading Car Sales/Petron | B. Aquino Ave | Pison Rotunda | B. Aquino Ave | Infante (UP/llollo Doctors’ Hospital/Iloilo Fish Port) | Locsin St | Rizal St | Infante | B. Aquino Ave. Gaisano Hub | SM Transport Hub (Strata) | Jalandoni St | (Injap Tower Hotel) | Commission Civil St. (SM Hypermarket) | M. Jayme | E. Lopez (Robinsons Jaro) | Seminario St | Burgos St | Cuartero St | Fajardo St | Libertad St | Sta. Isabel | Lopez Jaena St | Washington St | MacArthur Dr | Tacas-Quintin Salas Rd | Iloilo Circumferential Rd. (C. Aquino Ave.) | llollo Radial Bypass Rd | Tiu Cho Teg-Ana Ros Foundation Integrated School | Lanit/ Leganes Boundary loop,42
7,ROUTE 7 COMPANIA TO CITY PROPER LOOP,compania-iloilo,https://shemaegomez.com/compania-jeepney-route/,https://www.google.com/maps/d/embed?mid=1fSM2XVdutimFh16z3paEz8-cVduOJpc&ehbc=2E312F,1fSM2XVdutimFh16z3paEz8-cVduOJpc,https://www.google.com/maps/d/kml?mid=1fSM2XVdutimFh16z3paEz8-cVduOJpc&forcekml=1,1,217,,https://shemaegomez.com/?faq-group=route-7,"Compania St. (Tibiao Bakeshop), Avanceña St. (Asilo De Molo), Locsin St. (Molo Plaza, Molo Mansion), Timawa St. (Iloilo Doctors’ College), Delgado St., Jalandoni St., De Leon St. (Super), Fuentes St., Ledesma St. (Robinsons City), Iznart St. (Socorro Drug), Rizal St. (lloilo Central Market), Ortiz St., JM Basa St. (Plaza Libertad/City Hall), Rizal St. (UI Phinma), Iznart St. (lloilo Central Market/Socorro Drug), Ledesma St. (Unitop/Robinsons City), Mabini St., De Leon St. (Super), Fuentes St., Ledesma St. (Colegio de las Hijas de Jesus), Mabini St., De Leon St. (Super), Fuentes St., Delgado St. (UPV Iloilo Campus), Timawa St., Compania St.",Compania St. (Tibiao Bakeshop) | Avanceña St. (Asilo De Molo) | Locsin St. (Molo Plaza | Molo Mansion) | Timawa St. (Iloilo Doctors’ College) | Delgado St | Jalandoni St | De Leon St. (Super) | Fuentes St | Ledesma St. (Robinsons City) | Iznart St. (Socorro Drug) | Rizal St. (lloilo Central Market) | Ortiz St | JM Basa St. (Plaza Libertad/City Hall) | Rizal St. (UI Phinma) | Iznart St. (lloilo Central Market/Socorro Drug) | Ledesma St. (Unitop/Robinsons City) | Mabini St | De Leon St. (Super) | Fuentes St | Ledesma St. (Colegio de las Hijas de Jesus) | Mabini St | De Leon St. (Super) | Fuentes St | Delgado St. (UPV Iloilo Campus) | Timawa St | Compania St,27
8,ROUTE 8 PAROLA TO SM CITY VIA INFANTE LOOP,parola-infante,https://shemaegomez.com/parola-jeepney-route/,,,,0,0,,https://shemaegomez.com/?faq-group=route-8,"Parola Wharf (City Mall Parola), Zamora Ext., Zamora St. (GSIS), Rizal St. (lloilo Central Market), Quezon St., De Leon St. (Robinsons City), Jalandoni St., Rizal St. (Tanza Church), Infante St. (lloilo Doctors’ Hospital-College/UPV Iloilo Campus), B. Aquino Ave., Gaisano ICC loop, B. Aquino Ave., SM Transport Hub (Strata), B. Aquino Ave., U-turn Gil Traders/Petron Station, B. Aquino Ave. (Zuri Hotel), Plazuela 1&2, Pacencia Tijam Ave. (S&R/Atria), Pison Rotunda, B. Aquino Ave. (Smallville/Esplanade 182), Infante St.(UPV Iloilo Campus/lloilo Doctors’ Hospital/College), Rizal St. Zamora St., Zamora Ext. Parola Wharf (City Mall Parola)",Parola Wharf (City Mall Parola) | Zamora Ext | Zamora St. (GSIS) | Rizal St. (lloilo Central Market) | Quezon St | De Leon St. (Robinsons City) | Jalandoni St | Rizal St. (Tanza Church) | Infante St. (lloilo Doctors’ Hospital-College/UPV Iloilo Campus) | B. Aquino Ave | Gaisano ICC loop | B. Aquino Ave | SM Transport Hub (Strata) | B. Aquino Ave | U-turn Gil Traders/Petron Station | B. Aquino Ave. (Zuri Hotel) | Plazuela 1&2 | Pacencia Tijam Ave. (S&R/Atria) | Pison Rotunda | B. Aquino Ave. (Smallville/Esplanade 182) | Infante St.(UPV Iloilo Campus/lloilo Doctors’ Hospital/College) | Rizal St. Zamora St | Zamora Ext. Parola Wharf (City Mall Parola),23
9,ROUTE 9 MOHON TO CITY PROPER LOOP,mohon-infante,https://shemaegomez.com/mohon-infante-jeepney-route/,https://www.google.com/maps/d/embed?mid=1U7xHkU6VfibbtB8ISjO71M0bN8Ewo6E&ehbc=2E312F,1U7xHkU6VfibbtB8ISjO71M0bN8Ewo6E,https://www.google.com/maps/d/kml?mid=1U7xHkU6VfibbtB8ISjO71M0bN8Ewo6E&forcekml=1,2,401,,https://shemaegomez.com/?faq-group=route-9,"Mohon Terminal, Osmeña St. (Camiña Balay nga Bato), Jocson St. (Arevalo Elementary School), Avanceña St. (Asilo De Molo/Iloilo Supermart Molo), Locsin St. (Molo Plaza/Molo Mansion) MH Del Pilar St. (GT Plaza Mall Molo/DSWD), Gen. Luna St. (UPV lloilo Campus/Atrium), Iznart St. (Citadines), JM Basa St. (Socorro Drug), Ortiz St. (Plaza Libertad), Rizal St. (lloilo Central Market), Valeria St. (SM Delgado), Delgado St., Mabini St. (Robinsons City), De Leon St. (Super), Fuentes St., Ledesma St., Rizal St., Infante St. (lloilo Doctors’ Hospital-College/UPV Iloilo Campus), MH Del Pilar St., San Pedro St. (Molo Plaza) Avanceña St. (Arevalo Plaza), Jocson St., Osmeña St., Mohon Terminal",Mohon Terminal | Osmeña St. (Camiña Balay nga Bato) | Jocson St. (Arevalo Elementary School) | Avanceña St. (Asilo De Molo/Iloilo Supermart Molo) | Locsin St. (Molo Plaza/Molo Mansion) MH Del Pilar St. (GT Plaza Mall Molo/DSWD) | Gen. Luna St. (UPV lloilo Campus/Atrium) | Iznart St. (Citadines) | JM Basa St. (Socorro Drug) | Ortiz St. (Plaza Libertad) | Rizal St. (lloilo Central Market) | Valeria St. (SM Delgado) | Delgado St | Mabini St. (Robinsons City) | De Leon St. (Super) | Fuentes St | Ledesma St | Rizal St | Infante St. (lloilo Doctors’ Hospital-College/UPV Iloilo Campus) | MH Del Pilar St | San Pedro St. (Molo Plaza) Avanceña St. (Arevalo Plaza) | Jocson St | Osmeña St | Mohon Terminal,23
10,ROUTE 10 BUNTATALA / TAGBAK TERMINAL TO CITY PROPER LOOP,tagbak-iloilo,https://shemaegomez.com/tagbak-city-proper-jeepney-route/,,,,0,0,,https://shemaegomez.com/?faq-group=route-10,"Buntatala Loop (Spousal of Mary and Joseph Parish Church), Tagbak Terminal, MacArthur Dr. (NFA, Iloilo Supermart Jaro, Angelicum), Simon Ledesma St., Jaro Plaza Rizal St., Commission Civil St. (SM Hypermarket), Del Carmen St., Luna St. (Benito Hospital, WVSU), Bonifacio Dr. (Provincial Capitol, Atrium Mall), Gen. Luna St., Jalandoni St. (University of San Agustin ), Rizal St. (Super), Mabini St., De Leon St. (Robinsons City), Quezon St., Rizal St. (UI Phinma) Mapa St. (Bombo Radyo lloilo, Goldberry Lite Hotel), JM Basa St., Ortiz St., Rizal St. (lloilo Central Market), Quezon St. (Sta. Teresita Church), De Leon St. (Ledi Supermart), Valeria St. (Marymart) Gen. Luna St. (Atrium lloilo), Muelle Loney St., Rizal St. (La Paz), Luna St. (WIT), E. Lopez St. (Benito Hospital), Del Carmen St., Commission Civil St. (SM Hypermarket), Rizal St. (Jaro Plaza, Ledi Supermart), Washington St., MacArthur Dr. (lloilo Supermart Jaro), Tagbak Terminal, Buntatala Loop (Spousal of Mary and Joseph Parish Church)",Buntatala Loop (Spousal of Mary and Joseph Parish Church) | Tagbak Terminal | MacArthur Dr. (NFA | Iloilo Supermart Jaro | Angelicum) | Simon Ledesma St | Jaro Plaza Rizal St | Commission Civil St. (SM Hypermarket) | Del Carmen St | Luna St. (Benito Hospital | WVSU) | Bonifacio Dr. (Provincial Capitol | Atrium Mall) | Gen. Luna St | Jalandoni St. (University of San Agustin ) | Rizal St. (Super) | Mabini St | De Leon St. (Robinsons City) | Quezon St | Rizal St. (UI Phinma) Mapa St. (Bombo Radyo lloilo | Goldberry Lite Hotel) | JM Basa St | Ortiz St | Rizal St. (lloilo Central Market) | Quezon St. (Sta. Teresita Church) | De Leon St. (Ledi Supermart) | Valeria St. (Marymart) Gen. Luna St. (Atrium lloilo) | Muelle Loney St | Rizal St. (La Paz) | Luna St. (WIT) | E. Lopez St. (Benito Hospital) | Del Carmen St | Commission Civil St. (SM Hypermarket) | Rizal St. (Jaro Plaza | Ledi Supermart) | Washington St | MacArthur Dr. (lloilo Supermart Jaro) | Tagbak Terminal | Buntatala Loop (Spousal of Mary and Joseph Parish Church),39
11,"ROUTE 11 TICUD, LA PAZ TO CITY PROPER LOOP",la-paz,https://shemaegomez.com/la-paz-isatu-jeepney-route/,https://www.google.com/maps/d/embed?mid=1jk7GaoqaVZYtDaPPoXrpcaBNijm9fps&ehbc=2E312F,1jk7GaoqaVZYtDaPPoXrpcaBNijm9fps,https://www.google.com/maps/d/kml?mid=1jk7GaoqaVZYtDaPPoXrpcaBNijm9fps&forcekml=1,2,374,,https://shemaegomez.com/?faq-group=route-11,"Ticud Loop (St. Paul’s, TIcud), Baldoza, Lopez Jaena St. (La Paz Plaza), Jereos St., Javellana Ext. (Ledesco Village), Commission Civil St., Burgos St. (ISATU), Huervana St. (La Paz Market), Rizal St. Luna St. (Gaisano La Paz), Bonifacio Dr. (Hall of Justice), Gen. Luna St. (St. Paul’s University), Jalandoni St. (University of San Agustin), De Leon St. (Super), Fuentes St., Ledesma St. (Robinsons City), Iznart St. (Socorro Drug), Rizal St. (UI Phinma), Gen. Hughes St. (Sagrado), Fort San Pedro Dr., Zamora Ext., Duran St., Sto. Rosario St., Zamora St. (GSIS/Plaza Libertad), JM Basa St. (Sunburst Park), lznart St. (Kongkee) Bonifacio Dr. (Provincial Capltol), Luna St., Magdalo St (MTC College), Gustilo St., Jereos St., Huervana Ext., Burgos St., Lopez Jaena St. (La Paz Plaza), Baldoza, Ticud Loop",Ticud Loop (St. Paul’s | TIcud) | Baldoza | Lopez Jaena St. (La Paz Plaza) | Jereos St | Javellana Ext. (Ledesco Village) | Commission Civil St | Burgos St. (ISATU) | Huervana St. (La Paz Market) | Rizal St. Luna St. (Gaisano La Paz) | Bonifacio Dr. (Hall of Justice) | Gen. Luna St. (St. Paul’s University) | Jalandoni St. (University of San Agustin) | De Leon St. (Super) | Fuentes St | Ledesma St. (Robinsons City) | Iznart St. (Socorro Drug) | Rizal St. (UI Phinma) | Gen. Hughes St. (Sagrado) | Fort San Pedro Dr | Zamora Ext | Duran St | Sto. Rosario St | Zamora St. (GSIS/Plaza Libertad) | JM Basa St. (Sunburst Park) | lznart St. (Kongkee) Bonifacio Dr. (Provincial Capltol) | Luna St | Magdalo St (MTC College) | Gustilo St | Jereos St | Huervana Ext | Burgos St | Lopez Jaena St. (La Paz Plaza) | Baldoza | Ticud Loop,35
